Revolt;Participants;Year;Monarchy;Synopsis;Country;freq
Galicia uprising 1846;Soldiers;1846;Spanish;El día 2 de abril de 1846 se pronunciaba en Lugo el 2º Batallón del Regimiento de Zamora, con el apoyo del nutrido grupo progresista existente en la ciudad, asumiendo el mando el comandante de Estado Mayor, Miguel Solís. A partir del día 4 de abril, se van incorporando otras ciudades (Santiago, Pontevedra, Vigo, Tui) y localidades (Baiona, Cangas, Moaña, etc.). El 15 de abril se reúnen en Santiago de Compostela los dos cuerpos del ejército sublevado, el del Norte mandado por M. Solís y el del Sur, por Rubín de Celis. En las diferentes ciudades y villas sublevadas se crean Juntas locales de gobierno, a su frente, la Junta Superior de Gobierno de Galicia, responsable de la dirección del movimiento y del gobierno. El levantamiento es protagonizado inicialmente por militares, pero inmediatamente se suman los civiles (milicianos, hombres de negocios, burguesía urbana, profesionales liberales, universitarios), en su mayor parte miembros del partido progresista y, también, del partido provincialista, partidario de una mayor autonomía económica y política de Galicia. Como objetivos se plantean la supresión de la reforma tributaria recientemente aprobada y un cambio de régimen con gobierno de los progresistas. El levantamiento fracasó con la derrota militar del ejército de Solís, ante el del general Concha, en Santiago de Compostela el 23 de abril de 1846, la disolución del ejército de Rubín de Celis y el exilio de muchos miembros de las juntas locales en Portugal el 26 de abril.;Spain;22
Granja de San Ildefonso insurrection 1836;Soldiers;1836;Spanish;King Ferdinand VII died in 1833, pointing to his under-aged daughter as heir to the Spanish throne. This led to a civil war (1833-40) that confronted those loyal to the king’s brother, Don Carlos, and those who preferred child Isabel. As Don Carlos represented the claims of absolutism and traditionalism, liberals turned to the regent María Cristina, Isabel’s mother. However the queen's attitude was contrary to the liberals' expectations. Since 1833 onwards, popular riots challenged the government authority and spread all over the country. In the cities, the local committees called Juntas started to fight Carlism on their own, thus increasing the power of the local militia. The liberal reforms carried out by Mendizábal did not prevent open rebellion to happen. His dismissal on 15 May 1836 caused several military revolts that lasted until August, when the royal guard mutinied and forced the queen regent to restore the Constitution of 1812. The mutiny was resolved without bloodshed, as the commission of mutineers entered the royal palace with explicit permission from the queen regent. However, in the long run their achievements were modest. The Constitution of 1812 was updated into a new text in 1837, which was much more moderate than the former and gave up the principle of national sovereignty, among many other concessions.;Spain;22
Guachichiles rebellion 1599;Women;1599;Spanish;La Rebelión de los Guachichiles forma parte de un ciclo mayor de revueltas que se deriva de las violentas incursiones de los españoles en los territorios indígenas que los conquistadores llamaron Nueva Galicia, actuales estados de Aguascalientes, Jalisco y Zacatecas. Los pueblos semi-nómadas de la región no se doblegaron ante la llegada de los españoles y colonos, ofreciendo resistencia armada en la forma de guerra de guerrillas por más de 50 años a lo largo de los conflictos de la Guerra del Mixtón (1540-1551) y la Guerra Chichimeca (1547-1600). De hecho, los guachichiles eran una de las naciones chichimecas que protagonizaron más enfrentamientos contra los conquistadores españoles durante este ciclo de revueltas (junto con los zacatecas y los wixarikas). La llamada ‘Rebelión de los guachichiles’ que aquí nos ocupa, y que podemos situar al final del ciclo de la Guerra Chichimeca (1599), tuvo además un carácter profético o socio-religioso, cuando una ‘hechicera’ guachichil llamó a la revuelta contra la iglesia, convocando además a los suyos a reunirse en San Luís Potosí para matar a todos los españoles que se encontraran. Unas 150 personas encabezadas por la anciana entraron en dos iglesias en Tlaxcala rompiendo cruces e imágenes, e impidiendo la celebración de las misas ese día. Si bien la llamada de la mujer solamente provocó un clima tumultuoso sin llegar a mayores, el recuerdo de los levantamientos chichimecas fue suficiente para su condena y ejecución por ahorcamiento.;Mexico;22
Gual and España conspiracy 1797;Soldiers;1796;Spanish;En la ciudad de La Guaira desde 1794 venían reuniéndose un grupo de conspiradores influidos por las ideas revolucionarias francesas liderados por Manuel Gual, capitán de infantería retirado, y José Maria España, teniente de justicia. Estos entraron en contacto con los líderes de un fracasado golpe republicano que habían pretendido llevar a cabo en Madrid en 1796, y enviados presos a La Guaira, de los cuales el más destacado, y pronto convertido en el ideólogo del grupo, era Juan Bautista Picornell, lector de Rousseau y los enciclopedistas. La cobertura que les daba el cargo judicial de José Maria España, facilitó sus actividades conspiradoras. Fueron reuniendo un grupo de colaboradores entre los sectores más bajos de la milicia (sargentos, cabos y soldados), pardos y blancos de sectores medios bajos (artesanos, comerciantes, abogados y pequeños propietarios), e incluso algún eclesiástico, como el propio párroco de La Guaira. En su ideario se hacía un llamamiento a la igualdad y la libertad, a la armonía entre clases, a la abolición del tributo indígena y de la esclavitud y al establecimiento del libre comercio. Su objetivo era el establecimiento de una república independiente en Venezuela. Fijaron el 16 de Julio de 1797 como fecha de su levantamiento, pero fueron delatados el día 13. Gual, España y Picornell escaparon a la colonia inglesa de Trinidad. España regresó clandestinamente a Venezuela, pero fue descubierto, juzgado y ejecutado en 1799. Gual moriría en el exilio en 1800.;Venezuela;22
Lady Shore mutiny 1797;Women;1797;Spanish;"A mediados de 1797 sale del puerto inglés Falmouth la fragata """"Lady Shore"""" propiedad de la Compañía de las Indias con casi 170 personas con destino a Botany Bay, Australia. Treinta y tantos días mas tarde los agitados vientos de un motín promovido por soldados irlandeses, franceses y algún alemán y polaco, llevan a la nave a Montevideo. Sesenta y ocho mujeres convictas viajaban a bordo de esa fragata convenida en cárcel flotante de prostitutas, condenadas por delitos menores y alguna a prisión perpetua. Aquella promiscuidad marítima entre mujeres jóvenes que vendían su cuerpo en Londres y soldados voluntarios donde había algunos republicanos levantiscos, concluirá en el Río de la Plata. Una de las más destacadas figuras -Mary Clarke o """"Clara la Inglesa"""" -morirá anciana en 1844 luego de haber hecho y desecho varios matrimonios, frecuentando a Manuelita Rosas, a las tertulias de época, a los comerciantes ingleses que venían a dar a su posada, acumulando bienes que legará a iglesias y conventos.";Uruguay;22
Lady Shore mutiny 1797;Soldiers;1797;Spanish;"A mediados de 1797 sale del puerto inglés Falmouth la fragata """"Lady Shore"""" propiedad de la Compañía de las Indias con casi 170 personas con destino a Botany Bay, Australia. Treinta y tantos días mas tarde los agitados vientos de un motín promovido por soldados irlandeses, franceses y algún alemán y polaco, llevan a la nave a Montevideo. Sesenta y ocho mujeres convictas viajaban a bordo de esa fragata convenida en cárcel flotante de prostitutas, condenadas por delitos menores y alguna a prisión perpetua. Aquella promiscuidad marítima entre mujeres jóvenes que vendían su cuerpo en Londres y soldados voluntarios donde había algunos republicanos levantiscos, concluirá en el Río de la Plata. Una de las más destacadas figuras -Mary Clarke o """"Clara la Inglesa"""" -morirá anciana en 1844 luego de haber hecho y desecho varios matrimonios, frecuentando a Manuelita Rosas, a las tertulias de época, a los comerciantes ingleses que venían a dar a su posada, acumulando bienes que legará a iglesias y conventos.";Uruguay;22
Loulé riots 1637;Women;1637;Portuguese;Romero Magalhães sugeriu a causa para os alvoroços que ocorreram em Portugal na década de 1630 foi a crise económica. Sustentava que em Loulé os protestos populares seriam semelhantes a outros, nomeadamente do Alentejo. Desvalorizou motivações políticas e até o peso da fiscalidade acrescida. Considerou que os protagonistas dos alvoroços “eram camponeses esfomeados” que invadiam os espaços urbanos. E sinalizava maus anos agrícolas e falta de pão em Loulé em 1637. A isto somava-se o real d’água, o aumento do cabeção das sisas e à ameaça de peste. Os corregedores disseram depois que os amotinados eram lavradores, pastores, negros, mulatos e mecânicos, escudeiros, velhos, moços, meninos e mulheres. Ou seja, população rural e escalões inferiores urbanos. Mas também clérigos. E que resistiam às justiças com pedras, paus, azagaias e armas quejandas, eram ferozes e indomáveis. O motim estalou em 29 de Setembro de 1637. Muita gente reuniu-se perto da casa do juiz de fora, reclamando o fim da nova tributação. A vereação atemorizada, aceitou e o motim cessou. Por pouco tempo, pois os desacatos reacenderam-se com mais força em 13 de Outubro. Figura de destaque na repressão das alterações foi o capitão-mor da vila, Lopo Furtado de Mendonça. A redução de Loulé foi dada ao monarca em 28 de Fevereiro de 1638. Com uma única excepção, acusado de crime de lesa-majestade e condenado à morte, os amotinados foram perdoados por Filipe IV em 12 Março de 1637 e execução teve lugar nesse mesmo dia.;Portugal;22
Mandu Ladino rebellion 1712-1719;Women;1719;Portuguese;La revuelta atacó el avance de la explotación ganadera y tuvo como objetivo a los terratenientes portugueses, símbolo del maltrato y la crueldad contra los pueblos originarios. Aunque se inició en 1712, las raíces del descontento indígena se remontan muchos años atrás, con el recuerdo cercano de las masacres producidas por el desarrollo de la ganadería, la ocupación de la tierra por parte de los colonos portugueses y la evangelización forzosa. Se extendió por las capitanías de Maranhão, Piauí, llegando a la de Ceará. Fue liderada por Mandu Ladino, indio Arani cristianizado y esclavo ganadero, quien comandó a las comunidades de la zona en contra el avance de la ganadería contra las tierras indígenas, la esclavitud y la dominación por parte de los hacendados. Mandu Ladino buscaba unir a la gran nación indígena para realizar una guerra contra el blanco invasor y vivir libremente en sus propias tierras. En 1716, los agricultores portugueses lograron reagruparse para realizar una contraofensiva, con la ayuda de las poblaciones de los pueblos jesuitas. Ese mismo año, la muerte de Mandu Ladino desestructuró el movimiento. Entre 1717 y 1719, las diferentes campañas militares a cargo de Bernardo Carvalho de Aguiar terminaron de ahogar el movimiento. Luego de la revuelta, los 150 pueblos originarios de la región fueron diezmados.;Brazil;22
Maracaibo insurrection 1799;Soldiers;1799;Spanish;Fue otro intento de rebelión inspirado en la Revolución Francesa y organizado por negros, mulatos y pardos en la localidad de Maracaibo. Liderada por Francisco Xavier Pirela, sastre y subteniente de las milicias pardas, contó con la colaboración de dos corsarios franceses, también mulatos, los hermanos Juan y Andrés Bossé, que procedentes de Santo Domingo, se vieron obligados a entrar en aquel puerto con sus barcos, el Bruto y la Patrulla y una presa acabada de capturar, el barco inglés Arlequín el 6 de Mayo. Pirala aseguraba contar con 200 hombres de la milicia parda, y los Bossé se sumaron a la conspiración (la defensa de otros implicados los acusó de ser ellos sus promotores) con las tripulaciones de sus barcos, también de color. La rebelión  tenía como objetivo matar a todos los blancos y establecer “el sistema de libertad e igualdad”, aboliendo la esclavitud y creando una república. La rebelión estaba fijada para la noche del 19 de Mayo, pero un cabo de las milicias, al que Pirela quiso comprometer con la conjura, y luego el propio Pirela, arrepentido, delataron a los implicados y el golpe fue abortado por el gobernador. Fueron juzgados en torno a 70 comprometidos en el movimiento que fueron condenados a diversas penas de prisión. Pirela cumplió 10 años en el Castillo de El Morro (La Habana). Al salir de prisión obtuvo permiso para trasladarse a España donde reclamó en varias ocasiones, sin éxito, una recompensa por sus servicios al delatar la conspiración.;Venezuela;22
Mexico City riot 1692;Women;1692;Spanish;En la tarde del 8 de junio de 1692, coincidiendo con la celebración del Corpus Christi, se produjeron, en el centro de la ciudad de México, unos disturbios por la escasez de granos, trigo y maíz, y por su carestía. Sin embargo, la revuelta fue algo más que un motín de pan. En realidad, fue una reacción contra el Virrey Conde de Galve, tratándose más que de un disturbio alimentario de un movimiento político en el que hubo un planeamiento y una organización, aunque no hubo un líder reconocido. Durante las pocas horas que duró la revuelta, se incendiaron algunos de los edificios más importantes de la ciudad: el palacio del virrey, el ayuntamiento, la alhóndiga. La represión de las autoridades contra los alborotadores, en especial los indios, fue abrumadora y los culpables fueron ejecutados. Sin embargo, en la “plebe” que participó en los sucesos había también otros grupos resentidos por las injusticias del Virrey de las humillaciones de los castellanos (negros, mulatos, mestizos, españoles pobres). Pero la participación de los indígenas les permitió ganar espacio como actores políticos y sociales en la vida de la ciudad. Para el lunes 9 de junio, pareció resolverse la escasez de maíz que no volvió a faltar.;Mexico;22
Nuns mutiny in Viana 1704;Women;1704;Portuguese;Estes desacatos ocorreram no mosteiro feminino de Santa Ana, de obediência beneditina. As ‘bulhas’ começaram com uma disputa entre a criada de uma religiosa e a escravizada negra de outra. O motivo foi trivial: o uso de um fogareiro. Expulsaram as duas. Formaram-se dois partidos e as dissensões azedaram-se, levando 40 religiosas a sair da clausura. Esta grave quebra da ordem fez escândalo na vila, provocando a intervenção do 4º conde da Atalaia, governador das armas do Minho, com muita tropa, ministros da justiça e outros oficiais mais o vigário-geral do arcebispado, vindo às pressas de Braga. Mas, nada. Só aceitaram regressar com a criada, o que fizeram, gabando-se. A outra facção só tinha 5 religiosas, mas a sua indignação foi tal que reavivou o conflito, provocando nova saída das 40 freiras, ameaçando porem fogo à casa de parentes das outras 5. As mesmas forças da ordem reapareceram. Debalde. Só os religiosos de S. Domingos lograram levá-las de volta. Mas os ânimos estavam tão acesos que foram atrás das outras 5 para as matar. O provisor do arcebispado com medo dos excessos, retirou as 5 e mandou-as para o mosteiro de São Bento de Viana. Em 12/1705, passado quase um ano, o arcebispo de Braga veio em visitação e tentou que se retomasse a normalidade. Mas nada. Enviou depois pregadores, confessores, religiosos, mestres e padres espirituais. Sem sucesso. Não se conhece o final da história, que, além da óbvia discriminação da escravizada, deixa suspeitas sobre facções na vila.;Portugal;22
Paredes da Beira riot 1692;Women;1692;Portuguese;"Este conflito ocorreu em Paredes da Beira em inícios de maio de 1692. A história consta da petição de perdão de duas mulheres viúvas implicadas no motim. Eram naturais dessa vila e alegavam serem rústicas, pobres e miseráveis. Foram presas e depois condenadas na Relação do Porto, a sair em baraço, pregão e açoites pelas ruas públicas. Estavam presas há 3 anos e pediam comutação da pena de açoites. O motim opôs partidários das facções de um antigo e de um recém-nomeado capitão-mor de ordenanças. Alertado para o conflito na vila, o governador das armas da Beira, mandou buscar o anterior capitão-mor, sob prisão. O desacato começara com a chegada do auditor-geral da gente de guerra da Província da Beira para prender António de Paiva, o velho, antigo capitão-mor da vila. O som do sino provocou ajuntamento grande, sobretudo de mulheres, que resistiram. Quando o preso ficou à guarda do alferes, os amotinados atiraram-lhe pedradas. António de Paiva o moço e sua irmã, Maria de Paiva, filhos do anterior capitão-mor, foram acusados. Dizia-se que ela fora a principal causadora do motim, pois gritara que a acudissem, o que atraiu muita gente. Ele viera com clavina, espada e adaga e disparou um tiro contra José de Sousa Rebelo que estava com o auditor e lhe chamaram muitos nomes injuriosos. E o auditor-geral foi também ferido numa perna. """"Foi necessário para aplacar o motim deixarem ficar o preso”. Em 13/05/1697, o perdão foi concedido às suplicantes contra pagamento de 10.000 réis a cada.";Portugal;22
Revolt of Palermo 1647;Women;1647;Spanish;Revolts in Palermo broke out in a context of urban financial crisis, dearth and epidemic. It was also a period of instability in the Spanish monarchy, economically and militarily exhausted by the 30-year war, and stressed by the extraordinary government of the Count-Duke of Olivares which led to rebellion in Portugal and Catalonia. Popular discontent in Palermo for the reduction of the weight of bread turned into rioting on 20 May. Rioters acted with violence against places linked to urban government, treasury and tax offices, and to people considered to be profiting from the fiscal and the food supply systems. After 2 days of unrest, the viceroy restored the weight of bread, abolished the 5 gabelle (excises on grain, wine, oil, meat and cheese), deposed the local senate, and granted guilds the right to elect 2 popular senators. On 14 August a new uprising was led by an artisan Guiseppe D´Alesi with the tanners´ and fishers' guilds. With the assistance of lawyers and intellectuals they demanded the acceptance of 49 capitoli, which would abolish the gabelle in the whole kingdom and grant the guilds greater participation in local government. Alesi was murdered by a coalition of artisans, noblemen and the Inquisition on 22, then the guilds´ demands were published. The viceroy, who had fled from Palermo, returned in September and negotiated new capitoli with the guilds, which maintained some popular claims and reforms in the urban government that lasted for almost one year.;Italy;22
Riego military rebellion 1820;Soldiers;1820;Spanish;On the first day of January 1820, Commander Rafael de Riego led a military coup (pronunciamiento) in Cabezas de San Juan to restore the liberal Constitution of 1812. It was not the first try to enforce changes in the government, but the first one that succeeded: in fact, there had been a failed pronunciamiento a year since king Ferdinand VII returned from exile in 1814. The Spanish society felt indeed disappointed with the king they had once longed for. After the war of Independence, rigid market and social structures hindered any chance for economic development, while the progressive loss of the colonies worsened the opportunities in the international arena. Politically, the king and his ministers were commonly held as incapable and corrupted. Meanwhile, many soldiers had lost their job, and the remaining troops were unwilling to risk their lives in the Americas. From 1818 onwards, secret societies emerged to help organizing the army for a general uprising. After the coup in Cabezas de San Juan, many other important cities within the Peninsula followed the steps, creating a network of autonomous, provisional governments (Juntas). The Crown failed to prevent this to happen because its own lack of confidence. The king finally signed the Constitution on 9 March 1820. Thus began the so-called Trienio Liberal (1820-1823), which lasted until France sent an army (the Cien Mil Hijos de San Luis) to restore absolutism. Afterwards, Rafael de Riego was hanged.;Spain;22
Riot against the royal guard 1670;Soldiers;1670;Spanish;Durante los últimos días del mes de julio y los primeros de agosto de 1670, diferentes altercados se dirigieron contra la denominada Guardia Chamberga en la propia capital de la Monarquía Hispánica: Madrid. Dicho cuerpo, una guardia del rey instituida un año antes, había sido creada por la regente Mariana de Austria (viuda de Felipe IV, madre del todavía menor Carlos II) ante la inestabilidad a la que estaba sometida la corona y sobre todo su regencia por Juan José de Austria. Inicialmente los sucesos violentos enfrentaron a alguaciles de la corte contra dicho cuerpo militar, si bien posteriormente la base social del movimiento se amplió a diferentes gremios de artesanos de la ciudad y demás individuos del vulgo madrileño, protestando por la presencia de una unidad militar en el interior de su propia ciudad. Los acontecimientos contaron con pendencias y escaramuzas entre alguaciles y militares hasta que el 3 de agosto se da por apagado y controlado el motín.;Spain;22
Royal Guard sublevation 1822;Soldiers;1822;Spanish;The uprising of the Royal Guard occurred on July 7, 1822, during the Spanish Liberal Triennium (1820-1823), in the surroundings of the Royal Palace of Madrid. It was due to a riot caused by the reluctance of part of the society about having a liberal regime, and also because of the internal divisions within the liberal bloc and the political instability of the government. Nowadays, the authors of the uprising are known to be the king, Fernando VII, the Court, part of the nobility, the army and the Church. The Royal Guard, quartered in Madrid’s outskirts, moved to the capital the morning of July 7 and their objective was a coup against the current constitutional system in order to re-establish totalitarianism. After one day of fight, the National Militia defeated the Royal Guard in the streets, saving the liberal regime until 1823 when the French army invaded Spain and restored absolutism.;Spain;22
Soldiers mutiny in Bissau 1835;Soldiers;1835;Portuguese;"Em Maio de 1835 governava interinamente a cidade de Bissau, na Guiné Portuguesa, Domingos Alves de Abreu Pitaluga. No dia 1 desse mês, levantaram-se as três companhias da Praça de Bissau contra o referido governador e os seus oficiais, pretendendo assassiná-los. Tomaram conta da praça e o soldado António Picadas foi eleito pelos seus camaradas revoltosos para liderar o processo. O capitão e o negociante Caetano José Nozolini, que ainda há pouco tempo havia deixado esse governo, reuniu sessenta indivíduos da etnia """"mandjacos"""" e com eles caiu sobre os soldados, considerados indisciplinados, prendendo-os e restituindo à liberdade o governador e os oficiais. Assim, foi restabelecida a tranquilidade na cidade de Bissau. Nessa altura, de Cabo Verde não foram tomadas quaisquer providências relativamente à questão, tendo em conta que o arquipélago passava por dificuldades nomeadamente financeiras, porquanto não dispunha de dinheiro, tropas e nem mesmo de navios necessários para o efeito.";Guinea-Bissau;22
Stamped paper riot 1661;Women;1661;Portuguese;Para suportar os custos da Guerra da Restauração é instituído pelo alvará de 24-12-1660 o imposto sobre o papel selado, obrigatório em todo o tipo de escritura ou registo público. A 4 de Maio foi divulgada a ordem para a utilização única de papel selado para todos os actos públicos na cidade do Porto. Nessa manhã, os procuradores do povo acorreram à Câmara Municipal para que esta escrevesse à rainha sobre as preocupações do povo. No exterior, estavam à espera de resposta crianças, mulheres e alguns homens, a que se juntaram mais pessoas e foram até junto dos funcionários que aplicariam o imposto, entrando à força e queimando todo o papel. Naquela noite, o clero tentou pacificar os ânimos, mas no dia seguinte liderou nova revolta. Em resposta, as autoridades mobilizaram para a cidade 4000 soldados de infantaria e 500 de cavalaria, foi extinta a Casa dos Vinte e Quatro pela rainha, foram destituídos os procuradores do povo, foram decretadas penas menores para os participantes no motim. Mulheres e crianças não sofreram qualquer pena.;Portugal;22
Succession crisis riots in Setúbal 1580;Soldiers;1580;Portuguese;Em Junho de 1580, estando iminente a chegada a Lisboa de D. António, prior do Crato, os governadores do reino nomeados pelo falecido rei D. Henrique retiraram-se para Setúbal. O duque de Bragança também se refugiou na localidade, juntamente com Cristóvão de Moura e os demais representantes de Filipe II. Às ordens de D. António, o conde do Vimioso, D. Francisco de Portugal, instigou um motim na vila no dia 27. A casa de Moura foi saqueada e os enviados castelhanos escaparam por pouco à fúria popular. Os governadores mais favoráveis a Filipe II (João Mascarenhas, Francisco de Sá e Diogo Lopes de Sousa), vendo a sua própria guarda juntar-se aos amotinados, foram forçados a fugir de forma apressada e aparatosa, resgatados por cordas através de janelas. Acabaram por se refugiar em Ayamonte, onde declararam a sua obediência ao rei católico. O duque de Bragança, prevendo o rumo dos acontecimentos, partiu para Portel ainda antes do motim. Setúbal apoiaria D. António até se render às tropas do duque de Alba no dia 19 de Julho, não antes de oferecer resistência armada.;Portugal;22
Tangiers pro-John IV uprising 1643;Soldiers;1643;Portuguese;Tânger não aclamou D. João IV após o golpe de 1 de Dezembro em Lisboa. O governador dessa praça -o conde de Sarzedas- ficou fiel a Filipe IV. Para mais, Melchior Correia da Franca, tangerino com forte rede familiar aí residente e militar pela Monarquia nos exércitos da Flandres, estava na cidade a recrutar 200 soldados e logo os fez sair, desguarnecendo a praça de homens. Participou depois nas conspirações contra o novo rei em Portugal em 1641 e foi sentenciado e enforcado. Também a população hesitara. Economicamente, a separação fora nefasta, já que a praça dependia das provisões e verbas vindas de Portugal. A narrativa da revolta contra o domínio castelhano foi feita por Inácio da Costa, eclesiástico e criado do bispo da diocese de Ceuta-Tânger. Explica que a rebelião foi preparada dois anos antes. O primeiro objectivo seria a ocupação do castelo, onde havia cúmplices. A rebelião eclodiu na noite de 23 Fevereiro. Concentraram-se no convento, saíram para o castelo e depois para o palácio do governador, que foi preso. O golpe durou dois dias e logo saiu um navio a dar a notícia a D. João IV que estava em Évora. Recebidos com desconfiança, persuadiram a corte da boa nova e estes enviaram reforços com provisões que aportaram a 27 de setembro. Não se sabe o estatuto social dessa gente, mas incluía soldados. O governador Sarzedas foi levado para o reino e a sua hesitação na aclamação de João IV em Tânger não teve consequências de maior. Foi nomeado pouco depois Vice-Rei da Índia.;Morocco;22
Tangiers riot 1595;Soldiers;1595;Portuguese;Conhece-se este motim pelo perdão geral de 1595/10/28 concedido pelo rei após devassas feitas em Tânger. Os factos referem-se à sublevação de alguns cavaleiros e moradores contra Rui Mendes de Vasconcelos, que governava a praça havia seis meses. O capitão-mor era filho primogénito de Diogo de Sousa e fora adepto de Filipe II na pretensão à coroa de Portugal. Serviu depois os Habsburgos, o que lhe valeu várias distinções entre as quais o título de conde de Castelo Melhor. Desconhecem-se as razões dos amotinados, mas seriam fortes, pois forçaram a sua destituição, obrigando-o a embarcar. Ou, segundo o autor uma anedota, fugira “da sua fúria, embarcando-se para Castela”. Para o monarca a deposição era “coisa nova nestes reinos tanto contra meu serviço e contra autoridade e decência que se devem respeitar os meus capitães pelo qual caso mereciam os culpados nele procedimento exemplar e ignioso castigo”. Como a devassa identificou muitos culpados, o rei mandou prendê-los onde quer que estivessem. Tal não aconteceu, pois quase todos fugiram. Contudo, reconhecendo os muitos trabalhos que esses cabeças do motim, suas mulheres e filhos tinham passado na defesa da praça e graças à intercessão do príncipe herdeiro, o rei perdoou quase todos. Excepções foram Cristóvão Martins Fuzeiro, António Carvalho, Afonso da Franca e Manuel da Fonseca. Para estes emitiu-se ordem de prisão onde quer que estivessem para apresentarem as suas explicações diante de um dos corregedores do crime e da corte.;Morocco;22
Tavira riots 1637;Women;1637;Portuguese;Como explicou António de Oliveira, o móbil para as alterações ocorridas em Tavira e seu termo em 1637 foi a recusa à fiscalidade acrescida, ou seja, a suspensão do real d’agua e da avaliação das fazendas individuais para a cobrança do quinto para o ‘donativo’ pedido para o resgate de Pernambuco. Em 1 de outubro o real d’água deixou de ser pago em Moncarapacho, uma das aldeias do termo. Pouco depois, os camponeses desse lugar (neles se incluindo as aldeias de Nossa Senhora da Luz, Santa Catarina da fonte do Bispo, Nossa Senhora da Conceição e Cacela) invadiram e atacaram Tavira. A intenção, dizia-se, era queimarem os cartórios. Mas, embora muitos, não conseguiram penetrar nas defesas da vila. O cabecilha dos amotinados foi um homem de Moncarapacho chamado Domingos Dias, um reconhecido fora da lei fugido à justiça. Mas partilhou a liderança com outros três irmãos, um sapateiro, um almocreve e um oleiro. Na repressão destacou-se Brás de Vilela, recompensado depois com o posto de sargento-mor da vila, Francisco Correia de Barros, cristão-velho e Martim Correia da Silva, filho do futuro governador do Algarve. A pacificação do Algarve foi feita com tropas do duque de Medina Sidónia e com a negociação do corregedor de Tavira nas terras do termo dessa vila: antes de 16 de dezembro em Cacela e em 26 de dezembro em Moncarapacho. Com uma excepção, acusado de crime de lesa-majestade e condenado à morte, os amotinados foram perdoados por Filipe IV em 12 Março de 1637. A execução teve lugar nesse mesmo dia.;Portugal;22
Tupac Amaru rebellion 1780-1783;Soldiers;1780;Spanish;Rebelión que se extendió por los Andes del Perú, Charcas (Bolivia) y hasta el Río de la Plata, contra las reformas borbónicas que afectaban la organización política de las comunidades y la tributación de los comerciantes de la zona, que eran mayormente curacas indígenas.;Peru;22
Tupak Katari rebellion 1781;Women;1781;Spanish;Uno de los comunes denominadores observados en Andes durante buena parte del siglo XVIII fue la crisis en los sistemas de autoridad. Los alzamientos en contra de las reformas impuestas por la corona española estuvieron presentes a lo largo del siglo, así como también las disputas intra-comunitarias dirimidas en torno al rol de los caciques indígenas, que vieron disminuida su autoridad. La larga crisis culminó con la Gran Rebelión, que tuvo diferentes epicentros: Cuzco, Chayanta y La Paz. El levantamiento liderado por Julián Azpaza (Tupac Katari) y su esposa Bartolina Sisa tuvo su sello distintivo en tanto evidenció un marcado carácter anti-español y anti-blanco, que rechazó abiertamente al rey de España, proponiendo una transformación radical que aspiró al autogobierno indígena. Al mando de un ejército de más de 40 mil hombres y mujeres fundamentalmente aymaras -aunque también mestizos, mulatos y negros- Katari cercó la ciudad de la Paz en marzo del año de 1781, en un asedio que duró 109 días y finalizó el primero de julio. Luego de 40 días, se produjo un nuevo ataque indígena a la ciudad por el lapso de otros 64, al cabo del cual los españoles la recuperaron gracias a la ayuda enviada por Buenos Aires. Katari fue ejecutado en noviembre de ese mismo año, mientras que Sisa lo fue en septiembre de 1782. Así haya sido por un breve espacio de tiempo, este fue un movimiento de emancipación manifestado en fuerte rebelión que subvirtió completamente el orden político.;Bolivia;22
Viana do Minho riots 1635-1636;Women;1635;Portuguese;Estes motins foram estudados por António de Oliveira e Aurélio de Oliveira. As primeiras inquietações ocorreram talvez ainda em 1635, ao tempo do pedido de 500 mil cruzados feito a Portugal (março). Foram lideradas pelo ‘regedor’, mas acabaram logo que este foi preso pelo então juiz de fora, Francisco Montarroio. Seguiu-se um inquérito que condenou os inculpados: homens e mulheres, diz-se. No ano seguinte, a câmara tentou negociar com a coroa a forma de pagamento desses novos tributos. Ofereceu 30.000 cruzados, que o rei rejeitou. Então a câmara chamou a população para estabelecer a forma da colecta. Esta recusou e a acta da vereação de 11/01/1636 dá disso conta ao já corregedor Montarroio. Teve 36 assinaturas. Mas, perante a insistência do corregedor, fizeram uma cedência a 14/02: aceitaram pagar apenas o aumento do cabeção e ameaçaram, caso a proposta fosse recusada, que rejeitariam qualquer pagamento. Dessa vez assinaram 56. O corregedor voltou a enjeitar a sugestão e a câmara sujeitou-se. A 22/03, a população fez sentir a sua ira, invadindo a câmara e forçando a suspensão de todos os tributos. Apupavam os vereadores, clamando pelos desrespeitados direitos, ou seja, tributação nova sem acordo dos povos, exigiam também que os carniceiros não cortassem a carne e os vinhateiros não pagassem o real do vinho. Desta vez a acta levou 178 assinaturas. E nem todos os presentes terão assinado, tal fora a confusão instalada na multidão onde pontuavam moços, mulheres e clérigos.;Portugal;22
Zaragoza bread riots 1766;Women;1766;Spanish;As a sequel of Esquilache riots in Madrid, in Zaragoza groups of artisans demanded public intervention to reduce the price of bread. The populace went to the Governor´s house and after sacked the houses of merchants and other officials accused of speculating with prices. The repression was expeditious, and involved the participation of peasants from several neighborhoods in town, who harassed artisans at large and helped the authorities detain and execute up to 9 leaders of the revolt until the king ordered to stop executions.;Spain;22
